0.06108864,0.1249623,-51.24984,1,1,1
0.9361057,0.1249623,-51.25594,1,1,1
1.811122,0.1249621,-51.26205,1,1,1
2.68614,0.1249619,-51.26816,1,1,1
3.561157,0.1249616,-51.27426,1,1,1
3.924762,0.2258382,-52.28559,1,1,1
3.963511,0.346997,-53.49748,1,1,1
4.406026,0.3767684,-53.79829,1,1,1
5.070114,1.000003,-12.64063,1,1,1
11.3033,1,-5.466026,0.8,0.8,0.8
11.97108,1,-21.08558,1,1,1
15.38632,1,-22.29961,1,1,1
10.54439,1,-45.15821,0.8,0.8,0.8
3.088895,3.887387,-31.14697,0.08162404,0.1328682,0.02721176
6.501819,4.141331,-28.63129,0.08162404,0.1328682,0.02721176
16.83286,6.483485,-5.281355,0.8,0.8,0.8
10.69922,2.513401,-44.94028,0.8,0.8,0.8
0.2137771,7.124231,-29.37958,0.08162404,0.1328682,0.02721176
3.078581,6.755493,-31.24332,0.08162404,0.1328682,0.02721176
5.825391,6.629035,-31.89479,0.08162404,0.1328682,0.02721176
8.552426,6.572081,-32.1986,0.08162404,0.1328682,0.02721176
10.69921,4.026809,-44.94028,0.8,0.8,0.8
9.444037,10.22948,-29.30024,0.08162404,0.1328682,0.02721176
10.69922,5.540214,-44.94028,0.8,0.8,0.8
10.69921,7.053618,-44.94028,0.8,0.8,0.8
10.17331,8.195074,-45.68053,0.8,0.8,0.8
0.1361323,0.1249623,-50.24937,1,1,1
1.111043,0.1249621,-50.26299,1,1,1
2.085958,0.1249619,-50.2766,1,1,1
3.060872,0.1249619,-50.29021,1,1,1
3.932571,0.1498971,-50.55176,1,1,1
4.012095,0.3192751,-52.24681,1,1,1
4.439761,0.3767681,-52.82777,1,1,1
0.956216,1.09997,8.48098,1,1,1
5.396884,1.099972,-12.70838,1,1,1
8.088775,1.09997,-22.29961,1,1,1
12.26863,1.09997,-21.08558,1,1,1
16.31318,1.09997,-20.81133,1,1,1
10.70054,1.09997,-45.15746,0.8,0.8,0.8
3.383086,4.068826,-30.35427,0.08162404,0.1328682,0.02721176
6.506903,4.141392,-29.67216,0.08162404,0.1328682,0.02721176
17.25146,6.595239,-5.281356,0.8,0.8,0.8
10.70054,2.59887,-45.15746,0.8,0.8,0.8
3.500277,7.243367,-29.32739,0.08162404,0.1328682,0.02721176
6.10422,6.806372,-31.54893,0.08162404,0.1328682,0.02721176
10.70054,4.097771,-45.15746,0.8,0.8,0.8
3.367019,9.964242,-30.49505,0.08162404,0.1328682,0.02721176
5.970063,9.471456,-32.17418,0.08162404,0.1328682,0.02721176
10.70054,5.596671,-45.15746,0.8,0.8,0.8
10.70054,7.095572,-45.15746,0.8,0.8,0.8
